GEOID,median_income
11001000101,738
11001000102,1866
11001000201,0
11001000202,1802
11001000300,2471
11001000400,660
11001000501,2183
11001000502,1714
11001000600,2206
11001000702,2168
11001000703,2028
11001000704,1515
11001000802,1471
11001000803,1233
11001000804,1235
11001000902,864
11001000903,358
11001000904,1214
11001001002,2032
11001001003,1132
11001001004,1594
11001001100,2109
11001001200,2519
11001001301,2080
11001001303,2279
11001001304,2796
11001001401,1329
11001001402,1573
11001001500,2005
11001001600,1645
11001001702,1646
11001001803,1681
11001001804,2088
11001001901,1654
11001001902,852
11001002001,1170
11001002002,1527
11001002101,2458
11001002102,2254
11001002201,1022
11001002202,1273
11001002301,1246
11001002302,866
11001002400,1504
11001002501,1046
11001002503,1565
11001002504,1427
11001002600,900
11001002702,2294
11001002703,1250
11001002704,1674
11001002801,1781
11001002802,2777
11001002900,1672
11001003000,1656
11001003100,1807
11001003200,1620
11001003301,1815
11001003302,968
11001003400,1143
11001003500,1708
11001003600,2152
11001003701,1296
11001003702,1478
11001003801,990
11001003802,2029
11001003901,1743
11001003902,953
11001004001,2439
11001004002,2016
11001004100,1410
11001004201,1881
11001004202,1563
11001004300,2461
11001004401,1811
11001004402,1109
11001004600,1563
11001004702,2231
11001004703,1944
11001004704,745
11001004801,1434
11001004802,1645
11001004901,1877
11001004902,2167
11001005001,1108
11001005003,1134
11001005004,2260
11001005202,2095
11001005203,2296
11001005302,1577
11001005303,2033
11001005501,1171
11001005502,1672
11001005503,1195
11001005601,1969
11001005602,1850
11001005801,1173
11001005802,1474
11001005900,1407
11001006400,1467
11001006500,1380
11001006600,1120
11001006700,2067
11001006801,1014
11001006802,1018
11001006804,18
11001006900,1259
11001007000,1030
11001007100,1486
11001007201,1776
11001007202,2842
11001007203,1716
11001007301,1362
11001007304,2027
11001007401,755
11001007403,925
11001007404,1366
11001007406,1242
11001007407,1433
11001007408,1443
11001007409,1815
11001007502,1818
11001007503,923
11001007504,1300
11001007601,2136
11001007603,2107
11001007604,1814
11001007605,1926
11001007703,2340
11001007707,1808
11001007708,1221
11001007709,1203
11001007803,2357
11001007804,1480
11001007806,1233
11001007807,918
11001007808,1577
11001007809,1209
11001007901,1728
11001007903,763
11001008001,1416
11001008002,1410
11001008100,1531
11001008200,1407
11001008301,1542
11001008302,1321
11001008402,1450
11001008410,837
11001008701,1130
11001008702,2021
11001008802,1891
11001008803,1627
11001008804,1569
11001008903,1781
11001008904,1970
11001009000,2289
11001009102,1937
11001009201,1242
11001009203,1537
11001009204,1565
11001009301,1524
11001009302,962
11001009400,1807
11001009503,1100
11001009504,1197
11001009505,1820
11001009507,598
11001009508,1827
11001009509,1359
11001009510,1913
11001009511,0
11001009601,823
11001009602,2228
11001009603,1992
11001009604,909
11001009700,1788
11001009801,1107
11001009802,836
11001009803,1416
11001009804,996
11001009807,1643
11001009810,1221
11001009811,1747
11001009901,958
11001009902,1235
11001009903,683
11001009904,1323
11001009905,1369
11001009906,741
11001009907,923
11001010100,1884
11001010201,1966
11001010202,1456
11001010300,1611
11001010400,2288
11001010500,2414
11001010601,1179
11001010602,2931
11001010603,1816
11001010700,1200
11001010800,902
11001010900,1184
11001011001,1439
11001011002,1129
11001011100,1927
11001980000,5
