GEOID,population
11001000101,1097
11001000102,3127
11001000201,2384
11001000202,3919
11001000300,5979
11001000400,1652
11001000501,3594
11001000502,3384
11001000600,4548
11001000702,2921
11001000703,2978
11001000704,2660
11001000802,3306
11001000803,2464
11001000804,3674
11001000902,2310
11001000903,2784
11001000904,3221
11001001002,3438
11001001003,2989
11001001004,4015
11001001100,4727
11001001200,4919
11001001301,4041
11001001303,3580
11001001304,4172
11001001401,3326
11001001402,3472
11001001500,5804
11001001600,4477
11001001702,3285
11001001803,4218
11001001804,5166
11001001901,4628
11001001902,2273
11001002001,3440
11001002002,4392
11001002101,6019
11001002102,4768
11001002201,3465
11001002202,3232
11001002301,3233
11001002302,1602
11001002400,3857
11001002501,2981
11001002503,2743
11001002504,3128
11001002600,2630
11001002702,5568
11001002703,2430
11001002704,3215
11001002801,3818
11001002802,5415
11001002900,4576
11001003000,3878
11001003100,3451
11001003200,4136
11001003301,3706
11001003302,2373
11001003400,3800
11001003500,3955
11001003600,4630
11001003701,2143
11001003702,2953
11001003801,1495
11001003802,3372
11001003901,2642
11001003902,1811
11001004001,4250
11001004002,3146
11001004100,2462
11001004201,3273
11001004202,2486
11001004300,4173
11001004401,3360
11001004402,2464
11001004600,3153
11001004702,3465
11001004703,3069
11001004704,1226
11001004801,2852
11001004802,3224
11001004901,3251
11001004902,3355
11001005001,1936
11001005003,1809
11001005004,3891
11001005202,2886
11001005203,3278
11001005302,2538
11001005303,2637
11001005501,1674
11001005502,2685
11001005503,1726
11001005601,2553
11001005602,3530
11001005801,1775
11001005802,2027
11001005900,2296
11001006400,2662
11001006500,2732
11001006600,2174
11001006700,4058
11001006801,2315
11001006802,2158
11001006804,2102
11001006900,2684
11001007000,2474
11001007100,3438
11001007201,2417
11001007202,4446
11001007203,2951
11001007301,4482
11001007304,4927
11001007401,1407
11001007403,2421
11001007404,3958
11001007406,3033
11001007407,3216
11001007408,4035
11001007409,3718
11001007502,5073
11001007503,2518
11001007504,2795
11001007601,5226
11001007603,3619
11001007604,3457
11001007605,3779
11001007703,6923
11001007707,4131
11001007708,2680
11001007709,2303
11001007803,4491
11001007804,4201
11001007806,2386
11001007807,2408
11001007808,4206
11001007809,3236
11001007901,4505
11001007903,1739
11001008001,3064
11001008002,3281
11001008100,3123
11001008200,2658
11001008301,2895
11001008302,2981
11001008402,2496
11001008410,2189
11001008701,2661
11001008702,3430
11001008802,4607
11001008803,3784
11001008804,3063
11001008903,4006
11001008904,3973
11001009000,3637
11001009102,4753
11001009201,3053
11001009203,3337
11001009204,3373
11001009301,3505
11001009302,1762
11001009400,4889
11001009503,3058
11001009504,3200
11001009505,4286
11001009507,1650
11001009508,3908
11001009509,3148
11001009510,4918
11001009511,1211
11001009601,2035
11001009602,5144
11001009603,4025
11001009604,2288
11001009700,3830
11001009801,1814
11001009802,1991
11001009803,2984
11001009804,2908
11001009807,3462
11001009810,2226
11001009811,3849
11001009901,2140
11001009902,3090
11001009903,2355
11001009904,3179
11001009905,3461
11001009906,1622
11001009907,2472
11001010100,2723
11001010201,2837
11001010202,2303
11001010300,4196
11001010400,4725
11001010500,3953
11001010601,1858
11001010602,6682
11001010603,2709
11001010700,1587
11001010800,4083
11001010900,3338
11001011001,2607
11001011002,1564
11001011100,5308
11001980000,17
