"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1400000US11001000101","Census Tract 1.01; District of Columbia; District of Columbia","738","145","0.0","5.9","0.0","5.9","2.7","4.4","7.6","10.6","1.8","2.8","5.1","5.5","6.8","4.3","22.4","9.8","9.1","10.9","44.6","12.5","168705","60589","245693","71013","18.3","(X)","(X)","(X)","(X)","(X)","205","81","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","28.3","22.9","5.4","6.5","66.3","23.7","250,000+","***","394752","152014","(X)","(X)","28.3","(X)","(X)","(X)","205","81","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","0.0","19.6","28.3","22.9","5.4","6.5","66.3","23.7","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","533","130","0.0","8.1","0.0","8.1","3.8","6.2","10.5","14.7","2.4","3.9","7.1","7.5","9.4","5.9","20.1","11.9","10.5","14.9","36.2","16.5","142917","69511","188363","70162","(X)","(X)","(X)","(X)","14.4","(X)",
"1400000US11001000102","Census Tract 1.02; District of Columbia; District of Columbia","1866","316","0.0","2.4","2.6","4.1","3.4","3.7","0.4","0.7","3.9","3.6","5.4","6.1","11.8","8.2","16.9","10.7","8.6","5.0","47.0","11.4","178790","50652","281717","64252","30.8","(X)","(X)","(X)","(X)","(X)","916","230","0.0","4.8","0.0","4.8","3.9","5.8","0.0","4.8","3.2","3.7","10.4","11.6","3.4","3.8","3.8","3.6","14.7","8.4","60.6","15.7","250,000+","***","353676","91280","(X)","(X)","37.1","(X)","(X)","(X)","839","214","0.0","5.2","0.0","5.2","0.0","5.2","0.0","5.2","3.5","4.0","11.3","12.6","1.7","2.3","2.6","3.1","16.1","9.3","64.8","16.5","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","950","289","0.0","4.6","5.2","8.2","2.8","4.4","0.8","1.3","4.6","6.3","0.5","1.0","20.0","15.2","29.5","19.1","2.6","3.2","33.9","15.3","114850","57432","204879","67251","(X)","(X)","(X)","(X)","24.6","(X)",
"1400000US11001000201","Census Tract 2.01; District of Columbia; District of Columbia","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","0","14","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","-","(X)",
"1400000US11001000202","Census Tract 2.02; District of Columbia; District of Columbia","1802","360","2.9","3.2","1.0","1.3","3.4","2.7","0.9","1.2","4.3","3.7","3.1","3.2","10.3","6.7","21.0","14.1","7.8","5.0","45.3","11.5","170500","79962","276746","44949","30.3","(X)","(X)","(X)","(X)","(X)","620","157","0.0","7.0","1.8","3.4","0.0","7.0","0.0","7.0","0.0","7.0","2.4","3.7","1.5","2.6","2.6","3.9","5.3","5.2","86.5","7.3","250,000+","***","412081","76469","(X)","(X)","48.9","(X)","(X)","(X)","551","136","0.0","7.8","2.0","3.9","0.0","7.8","0.0","7.8","0.0","7.8","0.0","7.8","1.6","2.8","2.9","4.4","6.0","6.0","87.5","7.4","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1182","344","4.4","5.0","0.6","1.0","5.2","4.2","1.4","1.9","6.6","5.9","3.4","4.6","15.0","10.4","30.7","19.2","9.1","7.0","23.8","10.8","123505","20484","195450","52809","(X)","(X)","(X)","(X)","20.6","(X)",
"1400000US11001000300","Census Tract 3; District of Columbia; District of Columbia","2471","264","2.8","2.2","2.3","2.8","3.5","2.6","2.8","2.2","2.5","2.0","8.3","6.7","9.3","4.0","10.7","3.5","11.0","5.0","46.9","7.2","176181","49502","265587","44079","25.8","(X)","(X)","(X)","(X)","(X)","1195","210","0.0","3.7","0.0","3.7","1.7","2.5","1.5","2.3","2.5","2.8","1.3","2.2","5.3","4.4","0.8","1.4","10.9","6.7","76.1","8.7","250,000+","***","398313","68329","(X)","(X)","22.3","(X)","(X)","(X)","1099","211","0.0","4.0","0.0","4.0","1.8","2.8","0.0","4.0","1.6","2.3","1.4","2.4","4.0","3.7","0.9","1.5","11.8","7.1","78.4","8.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1276","254","5.5","4.3","4.5","5.6","5.2","4.4","3.9","3.7","2.4","2.8","14.8","11.9","13.0","7.0","19.9","7.5","11.2","7.3","19.5","8.1","103611","33212","138102","32677","(X)","(X)","(X)","(X)","29.1","(X)",
"1400000US11001000400","Census Tract 4; District of Columbia; District of Columbia","660","80","3.6","2.6","2.0","2.1","3.5","3.2","3.6","2.7","1.7","2.3","5.0","3.9","3.5","2.0","15.8","6.4","8.5","4.4","52.9","8.5","206218","19179","328778","45635","40.8","(X)","(X)","(X)","(X)","(X)","350","70","0.0","12.0","0.0","12.0","3.4","3.7","1.7","2.5","3.1","4.1","3.4","5.0","1.7","2.5","3.7","3.6","7.1","6.3","75.7","11.4","250,000+","***","470599","95805","(X)","(X)","41.7","(X)","(X)","(X)","315","68","0.0","13.3","0.0","13.3","3.8","4.2","1.9","2.8","3.5","4.7","0.0","13.3","1.9","2.8","4.1","3.9","3.8","4.4","81.0","9.4","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","310","66","7.7","6.2","4.2","4.6","3.5","5.5","5.8","5.7","0.0","13.5","6.8","6.0","5.5","3.7","29.4","12.8","10.0","6.6","27.1","16.9","121500","25501","162469","50476","(X)","(X)","(X)","(X)","39.7","(X)",
"1400000US11001000501","Census Tract 5.01; District of Columbia; District of Columbia","2183","326","3.9","4.1","2.4","3.7","6.7","6.9","0.0","2.0","10.8","10.0","6.9","3.9","11.2","6.3","18.6","6.6","13.5","5.8","26.1","7.5","117361","26974","166837","32446","20.8","(X)","(X)","(X)","(X)","(X)","549","128","0.0","7.9","0.0","7.9","0.0","7.9","0.0","7.9","0.0","7.9","0.0","7.9","6.9","6.3","17.5","11.1","20.9","13.5","54.6","15.5","221181","86674","309130","91800","(X)","(X)","25.7","(X)","(X)","(X)","514","132","0.0","8.4","0.0","8.4","0.0","8.4","0.0","8.4","0.0","8.4","0.0","8.4","7.4","6.7","14.4","9.2","19.8","14.0","58.4","15.6","246250","71137","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1634","347","5.2","5.5","3.2","5.0","8.9","9.0","0.0","2.7","14.4","13.0","9.2","5.1","12.6","8.2","19.0","8.3","11.0","6.1","16.5","8.0","91815","19178","119029","23349","(X)","(X)","(X)","(X)","19.1","(X)",
"1400000US11001000502","Census Tract 5.02; District of Columbia; District of Columbia","1714","208","1.6","1.5","3.6","3.6","0.7","0.8","0.9","1.1","2.8","2.1","5.4","3.4","14.7","6.5","19.3","7.9","11.0","4.1","40.1","8.7","152917","32918","262032","37208","22.6","(X)","(X)","(X)","(X)","(X)","810","190","0.0","5.4","2.8","3.2","0.7","1.3","1.6","2.6","0.0","5.4","9.6","12.1","1.6","3.2","3.5","3.2","6.2","4.6","74.0","12.5","243065","31942","406340","73148","(X)","(X)","29.8","(X)","(X)","(X)","636","159","0.0","6.8","1.3","2.1","0.9","1.7","0.0","6.8","0.0","6.8","2.2","2.7","0.2","0.5","2.8","3.1","6.4","5.7","86.2","6.6","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","904","160","3.0","2.8","4.3","5.9","0.7","1.0","1.7","2.0","3.9","3.3","8.6","5.7","19.4","6.8","33.4","13.0","15.4","7.1","9.7","5.1","113750","21163","122818","12980","(X)","(X)","(X)","(X)","16.3","(X)",
"1400000US11001000600","Census Tract 6; District of Columbia; District of Columbia","2206","238","0.6","1.0","6.6","4.2","1.0","1.2","0.1","0.3","4.7","6.8","8.1","5.8","8.5","4.6","15.1","6.1","13.6","4.6","41.6","6.9","166875","20783","300498","60782","31.1","(X)","(X)","(X)","(X)","(X)","1119","187","0.0","3.9","0.0","3.9","0.0","3.9","0.0","3.9","0.0","3.9","4.5","5.0","7.5","5.7","6.9","5.8","9.3","6.3","71.8","10.6","250,000+","***","448220","104571","(X)","(X)","33.9","(X)","(X)","(X)","935","170","0.0","4.7","0.0","4.7","0.0","4.7","0.0","4.7","0.0","4.7","0.0","4.7","6.6","5.6","8.2","6.9","8.4","7.1","76.7","10.7","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1087","205","1.2","2.0","13.3","8.4","2.1","2.5","0.3","0.5","9.5","13.5","11.9","10.6","10.4","6.4","23.6","10.6","17.2","7.7","10.5","6.2","102014","24038","145739","42514","(X)","(X)","(X)","(X)","28.3","(X)",
"1400000US11001000702","Census Tract 7.02; District of Columbia; District of Columbia","2168","319","10.7","6.2","0.3","0.5","1.2","1.5","11.9","7.9","8.5","4.3","10.4","4.8","22.2","7.9","15.1","7.1","6.8","4.6","12.9","5.8","90761","13487","98526","13115","11.9","(X)","(X)","(X)","(X)","(X)","327","138","0.0","12.8","0.0","12.8","0.0","12.8","4.9","7.2","0.0","12.8","0.0","12.8","4.9","8.2","29.7","20.1","7.3","9.4","53.2","21.0","214141","78444","208974","39728","(X)","(X)","21.7","(X)","(X)","(X)","226","113","0.0","18.0","0.0","18.0","0.0","18.0","7.1","10.9","0.0","18.0","0.0","18.0","7.1","11.5","15.9","23.0","0.0","18.0","69.9","24.2","224545","56929","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1841","307","12.7","7.2","0.3","0.6","1.5","1.8","13.1","9.2","10.0","4.9","12.2","6.1","25.3","9.6","12.5","7.3","6.7","5.1","5.7","4.5","80194","28662","78908","10598","(X)","(X)","(X)","(X)","10.2","(X)",
