"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US11","District of Columbia","670587","*****",
"1400000US11001000101","Census Tract 1.01; District of Columbia; District of Columbia","1097","223",
"1400000US11001000102","Census Tract 1.02; District of Columbia; District of Columbia","3127","474",
"1400000US11001000201","Census Tract 2.01; District of Columbia; District of Columbia","2384","35",
"1400000US11001000202","Census Tract 2.02; District of Columbia; District of Columbia","3919","461",
"1400000US11001000300","Census Tract 3; District of Columbia; District of Columbia","5979","782",
"1400000US11001000400","Census Tract 4; District of Columbia; District of Columbia","1652","331",
"1400000US11001000501","Census Tract 5.01; District of Columbia; District of Columbia","3594","465",
"1400000US11001000502","Census Tract 5.02; District of Columbia; District of Columbia","3384","524",
"1400000US11001000600","Census Tract 6; District of Columbia; District of Columbia","4548","564",
"1400000US11001000702","Census Tract 7.02; District of Columbia; District of Columbia","2921","433",
"1400000US11001000703","Census Tract 7.03; District of Columbia; District of Columbia","2978","497",
"1400000US11001000704","Census Tract 7.04; District of Columbia; District of Columbia","2660","420",
"1400000US11001000802","Census Tract 8.02; District of Columbia; District of Columbia","3306","427",
"1400000US11001000803","Census Tract 8.03; District of Columbia; District of Columbia","2464","435",
"1400000US11001000804","Census Tract 8.04; District of Columbia; District of Columbia","3674","678",
"1400000US11001000902","Census Tract 9.02; District of Columbia; District of Columbia","2310","406",
"1400000US11001000903","Census Tract 9.03; District of Columbia; District of Columbia","2784","244",
"1400000US11001000904","Census Tract 9.04; District of Columbia; District of Columbia","3221","444",
"1400000US11001001002","Census Tract 10.02; District of Columbia; District of Columbia","3438","570",
"1400000US11001001003","Census Tract 10.03; District of Columbia; District of Columbia","2989","571",
"1400000US11001001004","Census Tract 10.04; District of Columbia; District of Columbia","4015","446",
"1400000US11001001100","Census Tract 11; District of Columbia; District of Columbia","4727","623",
"1400000US11001001200","Census Tract 12; District of Columbia; District of Columbia","4919","563",
"1400000US11001001301","Census Tract 13.01; District of Columbia; District of Columbia","4041","524",
"1400000US11001001303","Census Tract 13.03; District of Columbia; District of Columbia","3580","467",
"1400000US11001001304","Census Tract 13.04; District of Columbia; District of Columbia","4172","623",
"1400000US11001001401","Census Tract 14.01; District of Columbia; District of Columbia","3326","471",
"1400000US11001001402","Census Tract 14.02; District of Columbia; District of Columbia","3472","461",
"1400000US11001001500","Census Tract 15; District of Columbia; District of Columbia","5804","803",
"1400000US11001001600","Census Tract 16; District of Columbia; District of Columbia","4477","518",
"1400000US11001001702","Census Tract 17.02; District of Columbia; District of Columbia","3285","455",
"1400000US11001001803","Census Tract 18.03; District of Columbia; District of Columbia","4218","645",
"1400000US11001001804","Census Tract 18.04; District of Columbia; District of Columbia","5166","779",
"1400000US11001001901","Census Tract 19.01; District of Columbia; District of Columbia","4628","877",
"1400000US11001001902","Census Tract 19.02; District of Columbia; District of Columbia","2273","319",
"1400000US11001002001","Census Tract 20.01; District of Columbia; District of Columbia","3440","798",
"1400000US11001002002","Census Tract 20.02; District of Columbia; District of Columbia","4392","629",
"1400000US11001002101","Census Tract 21.01; District of Columbia; District of Columbia","6019","1180",
"1400000US11001002102","Census Tract 21.02; District of Columbia; District of Columbia","4768","673",
"1400000US11001002201","Census Tract 22.01; District of Columbia; District of Columbia","3465","680",
"1400000US11001002202","Census Tract 22.02; District of Columbia; District of Columbia","3232","689",
"1400000US11001002301","Census Tract 23.01; District of Columbia; District of Columbia","3233","560",
"1400000US11001002302","Census Tract 23.02; District of Columbia; District of Columbia","1602","207",
"1400000US11001002400","Census Tract 24; District of Columbia; District of Columbia","3857","481",
"1400000US11001002501","Census Tract 25.01; District of Columbia; District of Columbia","2981","746",
"1400000US11001002503","Census Tract 25.03; District of Columbia; District of Columbia","2743","657",
"1400000US11001002504","Census Tract 25.04; District of Columbia; District of Columbia","3128","640",
"1400000US11001002600","Census Tract 26; District of Columbia; District of Columbia","2630","464",
"1400000US11001002702","Census Tract 27.02; District of Columbia; District of Columbia","5568","870",
"1400000US11001002703","Census Tract 27.03; District of Columbia; District of Columbia","2430","376",
"1400000US11001002704","Census Tract 27.04; District of Columbia; District of Columbia","3215","673",
"1400000US11001002801","Census Tract 28.01; District of Columbia; District of Columbia","3818","625",
"1400000US11001002802","Census Tract 28.02; District of Columbia; District of Columbia","5415","581",
"1400000US11001002900","Census Tract 29; District of Columbia; District of Columbia","4576","692",
"1400000US11001003000","Census Tract 30; District of Columbia; District of Columbia","3878","512",
"1400000US11001003100","Census Tract 31; District of Columbia; District of Columbia","3451","584",
"1400000US11001003200","Census Tract 32; District of Columbia; District of Columbia","4136","822",
"1400000US11001003301","Census Tract 33.01; District of Columbia; District of Columbia","3706","594",
"1400000US11001003302","Census Tract 33.02; District of Columbia; District of Columbia","2373","388",
"1400000US11001003400","Census Tract 34; District of Columbia; District of Columbia","3800","500",
"1400000US11001003500","Census Tract 35; District of Columbia; District of Columbia","3955","414",
"1400000US11001003600","Census Tract 36; District of Columbia; District of Columbia","4630","768",
"1400000US11001003701","Census Tract 37.01; District of Columbia; District of Columbia","2143","201",
"1400000US11001003702","Census Tract 37.02; District of Columbia; District of Columbia","2953","833",
"1400000US11001003801","Census Tract 38.01; District of Columbia; District of Columbia","1495","190",
"1400000US11001003802","Census Tract 38.02; District of Columbia; District of Columbia","3372","512",
"1400000US11001003901","Census Tract 39.01; District of Columbia; District of Columbia","2642","582",
"1400000US11001003902","Census Tract 39.02; District of Columbia; District of Columbia","1811","400",
"1400000US11001004001","Census Tract 40.01; District of Columbia; District of Columbia","4250","656",
"1400000US11001004002","Census Tract 40.02; District of Columbia; District of Columbia","3146","515",
"1400000US11001004100","Census Tract 41; District of Columbia; District of Columbia","2462","407",
"1400000US11001004201","Census Tract 42.01; District of Columbia; District of Columbia","3273","530",
"1400000US11001004202","Census Tract 42.02; District of Columbia; District of Columbia","2486","464",
"1400000US11001004300","Census Tract 43; District of Columbia; District of Columbia","4173","765",
"1400000US11001004401","Census Tract 44.01; District of Columbia; District of Columbia","3360","955",
"1400000US11001004402","Census Tract 44.02; District of Columbia; District of Columbia","2464","500",
"1400000US11001004600","Census Tract 46; District of Columbia; District of Columbia","3153","507",
"1400000US11001004702","Census Tract 47.02; District of Columbia; District of Columbia","3465","717",
"1400000US11001004703","Census Tract 47.03; District of Columbia; District of Columbia","3069","549",
"1400000US11001004704","Census Tract 47.04; District of Columbia; District of Columbia","1226","413",
"1400000US11001004801","Census Tract 48.01; District of Columbia; District of Columbia","2852","496",
"1400000US11001004802","Census Tract 48.02; District of Columbia; District of Columbia","3224","729",
"1400000US11001004901","Census Tract 49.01; District of Columbia; District of Columbia","3251","439",
"1400000US11001004902","Census Tract 49.02; District of Columbia; District of Columbia","3355","377",
"1400000US11001005001","Census Tract 50.01; District of Columbia; District of Columbia","1936","410",
"1400000US11001005003","Census Tract 50.03; District of Columbia; District of Columbia","1809","320",
"1400000US11001005004","Census Tract 50.04; District of Columbia; District of Columbia","3891","495",
"1400000US11001005202","Census Tract 52.02; District of Columbia; District of Columbia","2886","441",
"1400000US11001005203","Census Tract 52.03; District of Columbia; District of Columbia","3278","579",
"1400000US11001005302","Census Tract 53.02; District of Columbia; District of Columbia","2538","342",
"1400000US11001005303","Census Tract 53.03; District of Columbia; District of Columbia","2637","381",
"1400000US11001005501","Census Tract 55.01; District of Columbia; District of Columbia","1674","368",
"1400000US11001005502","Census Tract 55.02; District of Columbia; District of Columbia","2685","448",
"1400000US11001005503","Census Tract 55.03; District of Columbia; District of Columbia","1726","377",
"1400000US11001005601","Census Tract 56.01; District of Columbia; District of Columbia","2553","397",
"1400000US11001005602","Census Tract 56.02; District of Columbia; District of Columbia","3530","465",
"1400000US11001005801","Census Tract 58.01; District of Columbia; District of Columbia","1775","297",
"1400000US11001005802","Census Tract 58.02; District of Columbia; District of Columbia","2027","232",
"1400000US11001005900","Census Tract 59; District of Columbia; District of Columbia","2296","343",
"1400000US11001006400","Census Tract 64; District of Columbia; District of Columbia","2662","514",
"1400000US11001006500","Census Tract 65; District of Columbia; District of Columbia","2732","442",
"1400000US11001006600","Census Tract 66; District of Columbia; District of Columbia","2174","485",
"1400000US11001006700","Census Tract 67; District of Columbia; District of Columbia","4058","382",
"1400000US11001006801","Census Tract 68.01; District of Columbia; District of Columbia","2315","353",
"1400000US11001006802","Census Tract 68.02; District of Columbia; District of Columbia","2158","587",
"1400000US11001006804","Census Tract 68.04; District of Columbia; District of Columbia","2102","45",
"1400000US11001006900","Census Tract 69; District of Columbia; District of Columbia","2684","373",
"1400000US11001007000","Census Tract 70; District of Columbia; District of Columbia","2474","386",
"1400000US11001007100","Census Tract 71; District of Columbia; District of Columbia","3438","775",
"1400000US11001007201","Census Tract 72.01; District of Columbia; District of Columbia","2417","176",
"1400000US11001007202","Census Tract 72.02; District of Columbia; District of Columbia","4446","644",
"1400000US11001007203","Census Tract 72.03; District of Columbia; District of Columbia","2951","390",
"1400000US11001007301","Census Tract 73.01; District of Columbia; District of Columbia","4482","613",
"1400000US11001007304","Census Tract 73.04; District of Columbia; District of Columbia","4927","940",
"1400000US11001007401","Census Tract 74.01; District of Columbia; District of Columbia","1407","314",
